D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_26_698.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_26_698.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_26_698.jpg, 0, 0, 0, 4.190336
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_26_837.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_26_837.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_26_837.jpg, 0, 0, 0, 4.139928
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_26_948.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_26_948.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_26_948.jpg, 0, 0, 0, 4.090125
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_27_061.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_27_061.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_27_061.jpg, 0, 0, 0, 4.040921
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_27_185.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_27_185.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_27_185.jpg, 0, 0, 0, 3.992309
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_27_296.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_27_296.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_27_296.jpg, 0, 0, 0, 3.952245
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_27_397.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_27_397.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_27_397.jpg, 0, 0, 0, 3.9047
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_27_508.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_27_508.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_27_508.jpg, 0, 0, 0, 3.865514
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_27_611.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_27_611.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_27_611.jpg, 0, 0, 0, 3.826722
D:\projects\studyfolder\NTI\Project\IMG\center_2025_02_24_20_24_27_712.jpg, D:\projects\studyfolder\NTI\Project\IMG\left_2025_02_24_20_24_27_712.jpg, D:\projects\studyfolder\NTI\Project\IMG\right_2025_02_24_20_24_27_712.jpg, 0, 0, 0, 3.78832
